review_text,star_rating,timestamp,clean_text,normalized_text,sentiment,aspects
"Kurir lambat, skincare hancur pas sampai ga pake bubble wrap.",2,2025-12-26 16:14:08,kurir lambat skincare hancur pas sampai ga pake bubble wrap,kurir lambat skincare hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Pengiriman cepat banget, skincare original.",5,2026-08-25 19:14:08,pengiriman cepat banget skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"Admin ramah responnya cepat, skincare sesuai deskripsi.",5,2026-04-21 13:14:08,admin ramah responnya cepat skincare sesuai deskripsi,admin ramah responnya cepat skincare sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Pengiriman cepat banget, sepatu original.",4,2026-04-19 18:14:08,pengiriman cepat banget sepatu original,pengiriman cepat banget sepatu original,Positive,"Shipping/Delivery,Product Quality"
"Pengiriman cepat bgt, sepatu original.",4,2026-09-14 18:14:08,pengiriman cepat bgt sepatu original,pengiriman cepat banget sepatu original,Positive,"Shipping/Delivery,Product Quality"
"Pengiriman cepat bgt, skincare original.",5,2026-01-14 03:14:08,pengiriman cepat bgt skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"skincare cacat, packing rusak dan bocor.",1,2026-01-18 06:14:08,skincare cacat packing rusak dan bocor,skincare cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Pengiriman cepat banget, sepatu original.",5,2025-12-23 11:14:08,pengiriman cepat banget sepatu original,pengiriman cepat banget sepatu original,Positive,"Shipping/Delivery,Product Quality"
"Admin ramah responnya cepat, skincare sesuai deskripsi.",5,2026-09-07 11:14:08,admin ramah responnya cepat skincare sesuai deskripsi,admin ramah responnya cepat skincare sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Sesuai harga, jam tangan cukup oke, admin biasa aja.",3,2026-05-17 11:14:08,sesuai harga jam tangan cukup oke admin biasa aja,sesuai harga jam tangan cukup oke admin biasa aja,Neutral,Customer Service
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-01-21 03:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Gpp lah, agak lama tapi sepatu masih utuh.",3,2026-04-23 08:14:08,gpp lah agak lama tapi sepatu masih utuh,tidak apa-apa lah agak lama tapi sepatu masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"Admin ramah responnya cepat, baju sesuai deskripsi.",5,2025-10-28 13:14:08,admin ramah responnya cepat baju sesuai deskripsi,admin ramah responnya cepat baju sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Pengiriman cepat banget, sepatu original.",5,2026-05-16 08:14:08,pengiriman cepat banget sepatu original,pengiriman cepat banget sepatu original,Positive,"Shipping/Delivery,Product Quality"
"Pengirimannya lama bgt, abang kurir lambat, skincare penyok.",1,2026-09-14 02:14:08,pengirimannya lama bgt abang kurir lambat skincare penyok,pengiriman lama banget abang kurir lambat skincare penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"Biasa aja, pengiriman standar.",3,2026-08-25 09:14:08,biasa aja pengiriman standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
tas lumayan lah buat harga segini.,3,2026-02-04 06:14:08,tas lumayan lah buat harga segini,tas lumayan lah buat harga segini,Neutral,General
"Biasa aja, pengiriman standar.",3,2026-02-26 06:14:08,biasa aja pengiriman standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"sepatu bgs, packing aman pake bubble wrap.",4,2026-06-06 18:14:08,sepatu bgs packing aman pake bubble wrap,sepatu bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Gpp lah, agak lama tapi baju masih utuh.",3,2026-03-21 22:14:08,gpp lah agak lama tapi baju masih utuh,tidak apa-apa lah agak lama tapi baju masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"Pengirimannya lama bgt, abang kurir lambat, jam tangan penyok.",1,2026-05-06 00:14:08,pengirimannya lama bgt abang kurir lambat jam tangan penyok,pengiriman lama banget abang kurir lambat jam tangan penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"Admin ramah responnya cepat, hp sesuai deskripsi.",5,2025-10-22 14:14:08,admin ramah responnya cepat hp sesuai deskripsi,admin ramah responnya cepat hp sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Bagus bgt, kurir juga ramah recommended seller.",5,2025-09-24 01:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Kurir lambat, tas hancur pas sampai ga pake bubble wrap.",2,2026-07-08 08:14:08,kurir lambat tas hancur pas sampai ga pake bubble wrap,kurir lambat tas hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Mantap, skincare kualitasnya original juara.",5,2025-11-18 15:14:08,mantap skincare kualitasnya original juara,mantap skincare kualitasnya original juara,Positive,Product Quality
"hp bgs, packing aman pake bubble wrap.",5,2026-06-13 15:14:08,hp bgs packing aman pake bubble wrap,hp bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"sepatu bgs, packing aman pake bubble wrap.",4,2026-03-13 15:14:08,sepatu bgs packing aman pake bubble wrap,sepatu bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"sepatu bgs, packing aman pake bubble wrap.",5,2026-02-18 20:14:08,sepatu bgs packing aman pake bubble wrap,sepatu bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
jam tangan lumayan lah buat harga segini.,3,2025-11-11 08:14:08,jam tangan lumayan lah buat harga segini,jam tangan lumayan lah buat harga segini,Neutral,General
"Pengirimannya lama bgt, abang kurir lambat, tas penyok.",1,2025-12-12 10:14:08,pengirimannya lama bgt abang kurir lambat tas penyok,pengiriman lama banget abang kurir lambat tas penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"tas bagus, packing aman pake bubble wrap.",5,2026-06-19 06:14:08,tas bagus packing aman pake bubble wrap,tas bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Kecewa, tas cacat tdk sesuai gambar.",1,2025-11-10 09:14:08,kecewa tas cacat tdk sesuai gambar,kecewa tas cacat tidak sesuai gambar,Negative,Product Quality
"Biasa aja, pengiriman standar.",3,2026-06-07 04:14:08,biasa aja pengiriman standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"jam tangan bgs, packing aman pake bubble wrap.",5,2025-11-10 22:14:08,jam tangan bgs packing aman pake bubble wrap,jam tangan bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Mantap, hp kualitasnya original juara.",4,2026-07-31 01:14:08,mantap hp kualitasnya original juara,mantap hp kualitasnya original juara,Positive,Product Quality
"Admin ramah responnya cepat, hp sesuai deskripsi.",5,2026-03-31 02:14:08,admin ramah responnya cepat hp sesuai deskripsi,admin ramah responnya cepat hp sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",5,2025-11-12 04:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
tas lumayan lah buat harga segini.,3,2026-08-28 21:14:08,tas lumayan lah buat harga segini,tas lumayan lah buat harga segini,Neutral,General
"sepatu sampai dengan selamat, original sih tapi pengirimannya lambat.",3,2025-12-12 10:14:08,sepatu sampai dengan selamat original sih tapi pengirimannya lambat,sepatu sampai dengan selamat original sih tapi pengiriman lambat,Neutral,"Shipping/Delivery,Product Quality"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-08-26 11:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Kecewa, jam tangan cacat tidak sesuai gambar.",1,2026-01-26 12:14:08,kecewa jam tangan cacat tidak sesuai gambar,kecewa jam tangan cacat tidak sesuai gambar,Negative,Product Quality
"Pengirimannya lama bgt, abang kurir lambat, baju penyok.",1,2026-02-16 10:14:08,pengirimannya lama bgt abang kurir lambat baju penyok,pengiriman lama banget abang kurir lambat baju penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"jam tangan bgs, packing aman pake bubble wrap.",5,2025-10-08 10:14:08,jam tangan bgs packing aman pake bubble wrap,jam tangan bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-07-26 12:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"sepatu bgs, packing aman pake bubble wrap.",5,2026-01-28 18:14:08,sepatu bgs packing aman pake bubble wrap,sepatu bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"hp cacat, packing rusak dan bocor.",2,2026-03-23 01:14:08,hp cacat packing rusak dan bocor,hp cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Kurir lambat, baju hancur pas sampai ga pake bubble wrap.",2,2026-04-30 23:14:08,kurir lambat baju hancur pas sampai ga pake bubble wrap,kurir lambat baju hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Kurir lambat, hp hancur pas sampai ga pake bubble wrap.",1,2026-05-16 09:14:08,kurir lambat hp hancur pas sampai ga pake bubble wrap,kurir lambat hp hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Admin acuh, respon lambat, sepatu sptnya tiruan.",1,2026-08-03 16:14:08,admin acuh respon lambat sepatu sptnya tiruan,admin acuh respon lambat sepatu sptnya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2025-11-29 18:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Pengiriman cepat banget, tas original.",5,2025-09-20 07:14:08,pengiriman cepat banget tas original,pengiriman cepat banget tas original,Positive,"Shipping/Delivery,Product Quality"
"hp bagus, packing aman pake bubble wrap.",5,2025-10-03 13:14:08,hp bagus packing aman pake bubble wrap,hp bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Mantap, skincare kualitasnya original juara.",5,2026-07-06 00:14:08,mantap skincare kualitasnya original juara,mantap skincare kualitasnya original juara,Positive,Product Quality
"Mantap, tas kualitasnya original juara.",5,2026-04-24 18:14:08,mantap tas kualitasnya original juara,mantap tas kualitasnya original juara,Positive,Product Quality
"Mantap, hp kualitasnya original juara.",5,2026-05-26 05:14:08,mantap hp kualitasnya original juara,mantap hp kualitasnya original juara,Positive,Product Quality
"Kurir lambat, hp hancur pas sampai ga pake bubble wrap.",1,2025-11-02 19:14:08,kurir lambat hp hancur pas sampai ga pake bubble wrap,kurir lambat hp hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Sesuai harga, tas cukup oke, admin biasa aja.",3,2026-03-29 10:14:08,sesuai harga tas cukup oke admin biasa aja,sesuai harga tas cukup oke admin biasa aja,Neutral,Customer Service
"baju bagus, packing aman pake bubble wrap.",4,2025-10-02 09:14:08,baju bagus packing aman pake bubble wrap,baju bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"hp bgs, packing aman pake bubble wrap.",4,2026-01-14 09:14:08,hp bgs packing aman pake bubble wrap,hp bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",4,2026-04-13 17:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",5,2026-07-09 12:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Admin ramah responnya cepat, skincare sesuai deskripsi.",5,2026-07-30 16:14:08,admin ramah responnya cepat skincare sesuai deskripsi,admin ramah responnya cepat skincare sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"skincare sampai dengan selamat, original sih tapi pengiriman lambat.",3,2026-02-15 19:14:08,skincare sampai dengan selamat original sih tapi pengiriman lambat,skincare sampai dengan selamat original sih tapi pengiriman lambat,Neutral,"Shipping/Delivery,Product Quality"
"Pengirimannya lama banget, kurir lambat, hp penyok.",1,2026-06-15 17:14:08,pengirimannya lama banget kurir lambat hp penyok,pengiriman lama banget kurir lambat hp penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"hp bgs, packing aman pake bubble wrap.",5,2026-07-22 09:14:08,hp bgs packing aman pake bubble wrap,hp bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Kecewa, baju cacat tidak sesuai gambar.",1,2026-04-18 01:14:08,kecewa baju cacat tidak sesuai gambar,kecewa baju cacat tidak sesuai gambar,Negative,Product Quality
"Mantap, baju kualitasnya original juara.",4,2026-04-30 22:14:08,mantap baju kualitasnya original juara,mantap baju kualitasnya original juara,Positive,Product Quality
"Mantap, tas kualitasnya original juara.",4,2025-10-07 09:14:08,mantap tas kualitasnya original juara,mantap tas kualitasnya original juara,Positive,Product Quality
"Mantap, tas kualitasnya original juara.",5,2026-03-29 23:14:08,mantap tas kualitasnya original juara,mantap tas kualitasnya original juara,Positive,Product Quality
"skincare sampai dengan selamat, original sih tapi pengiriman lambat.",3,2026-07-25 10:14:08,skincare sampai dengan selamat original sih tapi pengiriman lambat,skincare sampai dengan selamat original sih tapi pengiriman lambat,Neutral,"Shipping/Delivery,Product Quality"
"Mantap, skincare kualitasnya original juara.",4,2026-08-15 23:14:08,mantap skincare kualitasnya original juara,mantap skincare kualitasnya original juara,Positive,Product Quality
"Sesuai harga, hp cukup oke, admin biasa aja.",3,2026-09-15 08:14:08,sesuai harga hp cukup oke admin biasa aja,sesuai harga hp cukup oke admin biasa aja,Neutral,Customer Service
"Kecewa, baju cacat tidak sesuai gambar.",2,2025-11-12 11:14:08,kecewa baju cacat tidak sesuai gambar,kecewa baju cacat tidak sesuai gambar,Negative,Product Quality
"jam tangan bagus, packing aman pake bubble wrap.",5,2026-01-28 08:14:08,jam tangan bagus packing aman pake bubble wrap,jam tangan bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"jam tangan bagus, packing aman pake bubble wrap.",5,2026-06-25 05:14:08,jam tangan bagus packing aman pake bubble wrap,jam tangan bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Admin acuh, respon lambat, hp sepertinya tiruan.",1,2026-07-10 17:14:08,admin acuh respon lambat hp sepertinya tiruan,admin acuh respon lambat hp sepertinya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"tas cacat, packing rusak dan bocor.",2,2026-02-16 19:14:08,tas cacat packing rusak dan bocor,tas cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"jam tangan bagus, packing aman pake bubble wrap.",5,2025-12-21 15:14:08,jam tangan bagus packing aman pake bubble wrap,jam tangan bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Pengiriman cepat bgt, tas original.",5,2025-12-06 18:14:08,pengiriman cepat bgt tas original,pengiriman cepat banget tas original,Positive,"Shipping/Delivery,Product Quality"
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",4,2025-10-29 09:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"baju bgs, packing aman pake bubble wrap.",5,2026-07-17 02:14:08,baju bgs packing aman pake bubble wrap,baju bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",5,2026-03-13 08:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Gpp lah, agak lama tapi tas masih utuh.",3,2026-01-22 12:14:08,gpp lah agak lama tapi tas masih utuh,tidak apa-apa lah agak lama tapi tas masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",5,2025-11-23 06:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Pengiriman cepat banget, skincare original.",5,2026-02-04 06:14:08,pengiriman cepat banget skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"Pengirimannya lama bgt, abang kurir lambat, skincare penyok.",1,2026-03-13 04:14:08,pengirimannya lama bgt abang kurir lambat skincare penyok,pengiriman lama banget abang kurir lambat skincare penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"Admin ramah responnya cepat, hp sesuai deskripsi.",5,2026-09-04 06:14:08,admin ramah responnya cepat hp sesuai deskripsi,admin ramah responnya cepat hp sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Pengiriman cepat banget, tas original.",4,2026-08-02 17:14:08,pengiriman cepat banget tas original,pengiriman cepat banget tas original,Positive,"Shipping/Delivery,Product Quality"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-03-20 05:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"skincare cacat, packing rusak dan bocor.",2,2025-12-12 21:14:08,skincare cacat packing rusak dan bocor,skincare cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"skincare bagus, packing aman pake bubble wrap.",5,2025-09-27 20:14:08,skincare bagus packing aman pake bubble wrap,skincare bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2025-12-22 04:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"sepatu bgs, packing aman pake bubble wrap.",5,2026-03-06 12:14:08,sepatu bgs packing aman pake bubble wrap,sepatu bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Pengirimannya lama bgt, abang kurir lambat, hp penyok.",1,2026-03-31 13:14:08,pengirimannya lama bgt abang kurir lambat hp penyok,pengiriman lama banget abang kurir lambat hp penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"Admin ramah responnya cepat, skincare sesuai deskripsi.",5,2026-02-21 09:14:08,admin ramah responnya cepat skincare sesuai deskripsi,admin ramah responnya cepat skincare sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Pengiriman cepat banget, jam tangan original.",5,2025-11-26 11:14:08,pengiriman cepat banget jam tangan original,pengiriman cepat banget jam tangan original,Positive,"Shipping/Delivery,Product Quality"
"Sesuai harga, jam tangan cukup oke, admin biasa aja.",3,2025-12-25 03:14:08,sesuai harga jam tangan cukup oke admin biasa aja,sesuai harga jam tangan cukup oke admin biasa aja,Neutral,Customer Service
"Pengiriman cepat banget, skincare original.",5,2025-10-04 12:14:08,pengiriman cepat banget skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"Gpp lah, agak lama tapi sepatu masih utuh.",3,2025-10-19 11:14:08,gpp lah agak lama tapi sepatu masih utuh,tidak apa-apa lah agak lama tapi sepatu masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"skincare bagus, packing aman pake bubble wrap.",5,2026-08-26 22:14:08,skincare bagus packing aman pake bubble wrap,skincare bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"skincare bgs, packing aman pake bubble wrap.",5,2026-01-09 09:14:08,skincare bgs packing aman pake bubble wrap,skincare bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Bagus bgt, kurir juga ramah recommended seller.",5,2025-10-17 04:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-07-06 16:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Bagus bgt, abang kurir juga ramah recommended seller.",4,2026-02-23 17:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Sesuai harga, jam tangan cukup oke, admin biasa aja.",3,2026-06-21 06:14:08,sesuai harga jam tangan cukup oke admin biasa aja,sesuai harga jam tangan cukup oke admin biasa aja,Neutral,Customer Service
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-01-08 15:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, baju kualitasnya original juara.",5,2026-01-26 20:14:08,mantap baju kualitasnya original juara,mantap baju kualitasnya original juara,Positive,Product Quality
"Pengiriman cepat bgt, tas original.",5,2025-11-24 15:14:08,pengiriman cepat bgt tas original,pengiriman cepat banget tas original,Positive,"Shipping/Delivery,Product Quality"
sepatu lumayan lah buat harga segini.,3,2026-09-20 06:14:08,sepatu lumayan lah buat harga segini,sepatu lumayan lah buat harga segini,Neutral,General
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-01-01 20:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-04-19 21:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"skincare cacat, packing rusak dan bocor.",1,2025-10-18 13:14:08,skincare cacat packing rusak dan bocor,skincare cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Sesuai harga, sepatu cukup oke, admin biasa aja.",3,2026-09-04 00:14:08,sesuai harga sepatu cukup oke admin biasa aja,sesuai harga sepatu cukup oke admin biasa aja,Neutral,Customer Service
"baju bgs, packing aman pake bubble wrap.",5,2026-01-29 06:14:08,baju bgs packing aman pake bubble wrap,baju bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
sepatu lumayan lah buat harga segini.,3,2025-12-09 13:14:08,sepatu lumayan lah buat harga segini,sepatu lumayan lah buat harga segini,Neutral,General
"Pengiriman cepat bgt, tas original.",4,2026-06-10 23:14:08,pengiriman cepat bgt tas original,pengiriman cepat banget tas original,Positive,"Shipping/Delivery,Product Quality"
"Admin acuh, respon lambat, skincare sepertinya tiruan.",1,2025-12-20 00:14:08,admin acuh respon lambat skincare sepertinya tiruan,admin acuh respon lambat skincare sepertinya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, hp kualitasnya original juara.",4,2025-10-26 15:14:08,mantap hp kualitasnya original juara,mantap hp kualitasnya original juara,Positive,Product Quality
"baju bgs, packing aman pake bubble wrap.",5,2026-05-02 21:14:08,baju bgs packing aman pake bubble wrap,baju bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Pengiriman cepat bgt, hp original.",5,2025-10-26 11:14:08,pengiriman cepat bgt hp original,pengiriman cepat banget hp original,Positive,"Shipping/Delivery,Product Quality"
"Admin ramah responnya cepat, hp sesuai deskripsi.",4,2026-01-18 04:14:08,admin ramah responnya cepat hp sesuai deskripsi,admin ramah responnya cepat hp sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"tas bgs, packing aman pake bubble wrap.",5,2025-10-11 12:14:08,tas bgs packing aman pake bubble wrap,tas bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-04-23 19:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Biasa aja, pengiriman standar.",3,2026-07-30 10:14:08,biasa aja pengiriman standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"jam tangan cacat, packing rusak dan bocor.",1,2026-07-25 21:14:08,jam tangan cacat packing rusak dan bocor,jam tangan cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Admin ramah responnya cepat, skincare sesuai deskripsi.",4,2026-02-09 14:14:08,admin ramah responnya cepat skincare sesuai deskripsi,admin ramah responnya cepat skincare sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"skincare cacat, packing rusak dan bocor.",1,2025-09-29 13:14:08,skincare cacat packing rusak dan bocor,skincare cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"tas bgs, packing aman pake bubble wrap.",5,2026-06-28 11:14:08,tas bgs packing aman pake bubble wrap,tas bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"sepatu cacat, packing rusak dan bocor.",1,2025-10-21 21:14:08,sepatu cacat packing rusak dan bocor,sepatu cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"skincare cacat, packing rusak dan bocor.",2,2025-11-28 21:14:08,skincare cacat packing rusak dan bocor,skincare cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Pengiriman cepat banget, baju original.",5,2025-11-08 12:14:08,pengiriman cepat banget baju original,pengiriman cepat banget baju original,Positive,"Shipping/Delivery,Product Quality"
"Kecewa, tas cacat tidak sesuai gambar.",2,2026-07-26 18:14:08,kecewa tas cacat tidak sesuai gambar,kecewa tas cacat tidak sesuai gambar,Negative,Product Quality
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",4,2025-11-05 14:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Admin ramah responnya cepat, sepatu sesuai deskripsi.",5,2026-03-15 08:14:08,admin ramah responnya cepat sepatu sesuai deskripsi,admin ramah responnya cepat sepatu sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"sepatu cacat, packing rusak dan bocor.",1,2026-05-18 13:14:08,sepatu cacat packing rusak dan bocor,sepatu cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Admin acuh, respon lambat, jam tangan sepertinya tiruan.",2,2026-08-24 11:14:08,admin acuh respon lambat jam tangan sepertinya tiruan,admin acuh respon lambat jam tangan sepertinya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Admin acuh, respon lambat, sepatu sptnya tiruan.",2,2026-09-19 19:14:08,admin acuh respon lambat sepatu sptnya tiruan,admin acuh respon lambat sepatu sptnya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"baju bgs, packing aman pake bubble wrap.",5,2026-01-20 11:14:08,baju bgs packing aman pake bubble wrap,baju bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Pengiriman cepat bgt, jam tangan original.",5,2025-10-27 18:14:08,pengiriman cepat bgt jam tangan original,pengiriman cepat banget jam tangan original,Positive,"Shipping/Delivery,Product Quality"
